nflores 45185 Wed Mar  8 22:36:47 2017

Avatar id: 0; (x,y) = (12, 28); move = 2 
Avatar id: 1; (x,y) = (8, 10); move = 2 
Avatar id: 2; (x,y) = (0, 4); move = 2 
Avatar id: 3; (x,y) = (0, 39); move = 2 
Avatar id: 4; (x,y) = (14, 19); move = 2 
Avatar id: 0; (x,y) = (12, 29); move = 3 
Avatar id: 1; (x,y) = (8, 10); move = 3 
Avatar id: 2; (x,y) = (0, 5); move = 3 
Avatar id: 3; (x,y) = (0, 39); move = 3 
Avatar id: 4; (x,y) = (14, 19); move = 0 
Avatar id: 0; (x,y) = (12, 29); move = 2 
Avatar id: 1; (x,y) = (9, 10); move = 1 
Avatar id: 2; (x,y) = (0, 5); move = 2 
Avatar id: 3; (x,y) = (1, 39); move = 1 
Avatar id: 4; (x,y) = (14, 19); move = 1 
Avatar id: 0; (x,y) = (12, 29); move = 0 
Avatar id: 1; (x,y) = (9, 10); move = 3 
Avatar id: 2; (x,y) = (0, 6); move = 3 
Avatar id: 3; (x,y) = (1, 39); move = 3 
Avatar id: 4; (x,y) = (14, 19); move = 3 
Avatar id: 0; (x,y) = (11, 29); move = 2 
Avatar id: 1; (x,y) = (9, 10); move = 2 
Avatar id: 2; (x,y) = (1, 6); move = 1 
Avatar id: 3; (x,y) = (2, 39); move = 1 
Avatar id: 4; (x,y) = (15, 19); move = 1 
Avatar id: 0; (x,y) = (11, 29); move = 0 
Avatar id: 1; (x,y) = (9, 11); move = 3 
Avatar id: 2; (x,y) = (1, 6); move = 3 
Avatar id: 3; (x,y) = (2, 39); move = 3 
Avatar id: 4; (x,y) = (15, 19); move = 3 
Avatar id: 0; (x,y) = (11, 29); move = 1 
Avatar id: 1; (x,y) = (9, 11); move = 2 
Avatar id: 2; (x,y) = (1, 6); move = 2 
Avatar id: 3; (x,y) = (3, 39); move = 1 
Avatar id: 4; (x,y) = (16, 19); move = 1 
Avatar id: 0; (x,y) = (11, 28); move = 0 
Avatar id: 1; (x,y) = (9, 12); move = 3 
Avatar id: 2; (x,y) = (1, 7); move = 3 
Avatar id: 3; (x,y) = (3, 39); move = 3 
Avatar id: 4; (x,y) = (16, 19); move = 3 
Avatar id: 0; (x,y) = (10, 28); move = 2 
Avatar id: 1; (x,y) = (10, 12); move = 1 
Avatar id: 2; (x,y) = (2, 7); move = 1 
Avatar id: 3; (x,y) = (4, 39); move = 1 
Avatar id: 4; (x,y) = (17, 19); move = 1 
Avatar id: 0; (x,y) = (10, 29); move = 3 
Avatar id: 1; (x,y) = (10, 12); move = 3 
Avatar id: 2; (x,y) = (2, 7); move = 3 
Avatar id: 3; (x,y) = (4, 38); move = 0 
Avatar id: 4; (x,y) = (17, 19); move = 3 
Avatar id: 0; (x,y) = (10, 29); move = 2 
Avatar id: 1; (x,y) = (10, 12); move = 2 
Avatar id: 2; (x,y) = (3, 7); move = 1 
Avatar id: 3; (x,y) = (3, 38); move = 2 
Avatar id: 4; (x,y) = (17, 19); move = 2 
Avatar id: 0; (x,y) = (10, 29); move = 0 
Avatar id: 1; (x,y) = (10, 12); move = 0 
Avatar id: 2; (x,y) = (3, 7); move = 3 
Avatar id: 3; (x,y) = (3, 38); move = 0 
Avatar id: 4; (x,y) = (17, 20); move = 3 
Avatar id: 0; (x,y) = (9, 29); move = 2 
Avatar id: 1; (x,y) = (9, 12); move = 2 
Avatar id: 2; (x,y) = (3, 7); move = 2 
Avatar id: 3; (x,y) = (3, 38); move = 1 
Avatar id: 4; (x,y) = (18, 20); move = 1 
Avatar id: 0; (x,y) = (9, 29); move = 0 
Avatar id: 1; (x,y) = (9, 13); move = 3 
Avatar id: 2; (x,y) = (3, 8); move = 3 
Avatar id: 3; (x,y) = (3, 38); move = 3 
Avatar id: 4; (x,y) = (18, 20); move = 3 
Avatar id: 0; (x,y) = (8, 29); move = 2 
Avatar id: 1; (x,y) = (9, 13); move = 2 
Avatar id: 2; (x,y) = (4, 8); move = 1 
Avatar id: 3; (x,y) = (4, 38); move = 1 
Avatar id: 4; (x,y) = (18, 20); move = 2 
Avatar id: 0; (x,y) = (8, 30); move = 3 
Avatar id: 1; (x,y) = (9, 13); move = 0 
Avatar id: 2; (x,y) = (4, 8); move = 3 
Avatar id: 3; (x,y) = (4, 38); move = 3 
Avatar id: 4; (x,y) = (18, 20); move = 0 
Avatar id: 0; (x,y) = (9, 30); move = 1 
Avatar id: 1; (x,y) = (8, 13); move = 2 
Avatar id: 2; (x,y) = (5, 8); move = 1 
Avatar id: 3; (x,y) = (4, 38); move = 2 
Avatar id: 4; (x,y) = (17, 20); move = 2 
Avatar id: 0; (x,y) = (9, 30); move = 3 
Avatar id: 1; (x,y) = (8, 13); move = 0 
Avatar id: 2; (x,y) = (5, 7); move = 0 
Avatar id: 3; (x,y) = (4, 39); move = 3 
Avatar id: 4; (x,y) = (17, 20); move = 0 
Avatar id: 0; (x,y) = (9, 30); move = 2 
Avatar id: 1; (x,y) = (7, 13); move = 2 
Avatar id: 2; (x,y) = (5, 7); move = 1 
Avatar id: 3; (x,y) = (4, 39); move = 2 
